subject,condition,list,order,prime_verb,prime_type,target,response
20,NLVC,2,13,key,PO,21_T,D
20,NLVC,2,7,bouquet,DO,23_T,D
20,NLVC,2,9,toy,PO,26_T,P
20,NLVC,2,4,contract,DO,3_T,D
20,NLVC,2,12,music,DO,4_T,OTHER
20,NLVC,2,10,check,DO,5_T,P
20,NLVC,2,6,towel,PO,6_T,D
21,NLVC,4,8,key,DO,11_T,D
21,NLVC,4,6,number,PO,12_T,D
21,NLVC,4,9,bouquet,DO,13_T,D
21,NLVC,4,10,apple,PO,15_T,D
21,NLVC,4,3,cigarette,PO,16_T,D
21,NLVC,4,4,ball,PO,19_T,D
21,NLVC,4,5,flower,DO,20_T,D
21,NLVC,4,14,video tape,PO,21_T,D
21,NLVC,4,13,towel,DO,23_T,D
21,NLVC,4,12,music,PO,26_T,D
21,NLVC,4,2,contract,DO,3_T,D
21,NLVC,4,11,toy,DO,4_T,D
21,NLVC,4,7,check,PO,5_T,D
21,NLVC,4,1,jumper cable,DO,6_T,D
22,IDIOM,6,1,word,PO,11_T,P
22,IDIOM,6,11,earful,DO,12_T,P
22,IDIOM,6,14,green light,PO,13_T,MISSING
22,IDIOM,6,8,whirl,DO,15_T,P
22,IDIOM,6,9,run for his money,DO,16_T,P
22,IDIOM,6,6,piece of his mind,DO,19_T,P
22,IDIOM,6,4,blank check,PO,20_T,D
22,IDIOM,6,7,once-over,PO,21_T,P
22,IDIOM,6,3,free rein,PO,23_T,P
22,IDIOM,6,5,hand with the landscape,DO,26_T,D
22,IDIOM,6,13,hand,PO,3_T,OTHER
22,IDIOM,6,2,break to,PO,4_T,P
22,IDIOM,6,12,third degree,DO,5_T,MISSING
22,IDIOM,6,10,shirt off his back,DO,6_T,P
23,LVC,6,10,hug,DO,11_T,P
23,LVC,6,7,reply,PO,12_T,P
23,LVC,6,5,tip,DO,13_T,P
23,LVC,6,8,massage,DO,15_T,D
23,LVC,6,6,advice,PO,16_T,D
23,LVC,6,4,answer,PO,19_T,P
23,LVC,6,3,smile,PO,20_T,P
23,LVC,6,13,encouragement,DO,21_T,P
23,LVC,6,11,beating,PO,23_T,P
23,LVC,6,14,compliment,PO,26_T,P
23,LVC,6,1,bow,DO,3_T,P
23,LVC,6,9,command,DO,4_T,OTHER
23,LVC,6,12,aid,DO,5_T,P
23,LVC,6,2,scolding,PO,6_T,P
24,NLVC,3,7,contract,PO,11_T,P
24,NLVC,3,5,towel,PO,12_T,P
24,NLVC,3,13,flower,PO,13_T,P
24,NLVC,3,11,check,DO,15_T,D
24,NLVC,3,8,cigarette,DO,16_T,OTHER
24,NLVC,3,14,apple,DO,19_T,P
24,NLVC,3,10,bouquet,PO,20_T,P
24,NLVC,3,1,music,DO,21_T,P
24,NLVC,3,2,jumper cable,PO,23_T,P
24,NLVC,3,3,key,PO,26_T,P
24,NLVC,3,12,toy,PO,3_T,OTHER
24,NLVC,3,6,number,DO,4_T,P
24,NLVC,3,4,ball,DO,5_T,OTHER
24,NLVC,3,9,video tape,DO,6_T,P
25,NLVC,2,6,bouquet,DO,11_T,MISSING
25,NLVC,2,13,towel,PO,12_T,D
25,NLVC,2,11,ball,DO,13_T,D
25,NLVC,2,9,number,PO,15_T,D
25,NLVC,2,8,key,PO,16_T,D
25,NLVC,2,7,video tape,DO,19_T,MISSING
25,NLVC,2,10,check,DO,20_T,D
25,NLVC,2,4,toy,PO,21_T,MISSING
25,NLVC,2,3,cigarette,PO,23_T,P
25,NLVC,2,5,jumper cable,PO,26_T,D
25,NLVC,2,2,flower,DO,3_T,D
25,NLVC,2,12,contract,DO,4_T,D
25,NLVC,2,1,apple,PO,5_T,P
25,NLVC,2,14,music,DO,6_T,D
26,NLVC,7,13,flower,PO,11_T,P
26,NLVC,7,9,apple,PO,12_T,D
26,NLVC,7,2,toy,DO,13_T,D
26,NLVC,7,10,towel,DO,15_T,D
26,NLVC,7,11,contract,PO,16_T,D
26,NLVC,7,8,check,DO,19_T,D
26,NLVC,7,1,cigarette,PO,20_T,D
26,NLVC,7,5,key,DO,21_T,P
26,NLVC,7,6,bouquet,PO,23_T,P
26,NLVC,7,14,number,PO,26_T,P
26,NLVC,7,4,ball,PO,3_T,MISSING
26,NLVC,7,3,video tape,DO,4_T,MISSING
26,NLVC,7,7,jumper cable,DO,5_T,D
26,NLVC,7,12,music,DO,6_T,P
27,IDIOM,6,10,break to,PO,11_T,P
27,IDIOM,6,1,piece of his mind,DO,12_T,OTHER
27,IDIOM,6,13,whirl,DO,13_T,P
27,IDIOM,6,4,shirt off his back,DO,15_T,P
27,IDIOM,6,7,run for his money,DO,16_T,P
27,IDIOM,6,6,hand,PO,19_T,P
27,IDIOM,6,3,word,PO,20_T,P
27,IDIOM,6,12,blank check,PO,21_T,P
27,IDIOM,6,14,free rein,PO,23_T,P
27,IDIOM,6,9,green light,PO,26_T,P
27,IDIOM,6,5,hand with the landscape,DO,3_T,P
27,IDIOM,6,8,earful,DO,4_T,P
27,IDIOM,6,11,third degree,DO,5_T,D
27,IDIOM,6,2,once-over,PO,6_T,P
28,IDIOM,7,14,ax,PO,11_T,D
28,IDIOM,7,4,break to,PO,12_T,D
28,IDIOM,7,9,due,DO,13_T,D
28,IDIOM,7,7,go-ahead,PO,15_T,D
28,IDIOM,7,2,runaround,DO,16_T,D
28,IDIOM,7,12,whirl,DO,19_T,P
28,IDIOM,7,13,earful,DO,20_T,D
28,IDIOM,7,1,bum's rush,DO,21_T,OTHER
28,IDIOM,7,5,word,PO,23_T,P
28,IDIOM,7,10,free rein,PO,26_T,D
28,IDIOM,7,11,rise,PO,3_T,P
28,IDIOM,7,6,piece of her mind,PO,4_T,D
28,IDIOM,7,8,break,DO,5_T,P
28,IDIOM,7,3,shirt off his back,DO,6_T,P
29,NLVC,6,1,number,PO,11_T,P
29,NLVC,6,12,flower,DO,12_T,D
29,NLVC,6,4,towel,DO,13_T,D
29,NLVC,6,10,jumper cable,DO,15_T,D
29,NLVC,6,13,key,PO,16_T,D
29,NLVC,6,8,music,PO,19_T,D
29,NLVC,6,5,video tape,PO,20_T,D
29,NLVC,6,3,check,PO,21_T,P
29,NLVC,6,6,toy,DO,23_T,P
29,NLVC,6,14,cigarette,PO,26_T,D
29,NLVC,6,2,contract,DO,3_T,P
29,NLVC,6,9,apple,PO,4_T,P
29,NLVC,6,7,ball,DO,5_T,D
29,NLVC,6,11,bouquet,DO,6_T,D
30,NLVC,2,11,ball,DO,11_T,D
30,NLVC,2,6,contract,DO,12_T,D
30,NLVC,2,5,apple,PO,13_T,D
30,NLVC,2,10,flower,DO,15_T,D
30,NLVC,2,8,key,PO,16_T,D
30,NLVC,2,9,bouquet,DO,19_T,MISSING
30,NLVC,2,7,check,DO,20_T,D
30,NLVC,2,14,toy,PO,21_T,OTHER
30,NLVC,2,3,video tape,DO,23_T,D
30,NLVC,2,4,number,PO,26_T,D
30,NLVC,2,13,towel,PO,3_T,P
30,NLVC,2,12,jumper cable,PO,4_T,P
30,NLVC,2,2,music,DO,5_T,D
30,NLVC,2,1,cigarette,PO,6_T,P
31,LVC,7,10,aid,PO,11_T,MISSING
31,LVC,7,14,compliment,DO,12_T,P
31,LVC,7,7,hug,DO,13_T,MISSING
31,LVC,7,6,reply,PO,15_T,P
31,LVC,7,13,smile,DO,16_T,D
31,LVC,7,1,bow,DO,19_T,MISSING
31,LVC,7,2,massage,PO,20_T,MISSING
31,LVC,7,11,scolding,PO,21_T,MISSING
31,LVC,7,3,encouragement,DO,23_T,D
31,LVC,7,5,tip,PO,26_T,MISSING
31,LVC,7,9,answer,DO,3_T,P
31,LVC,7,12,command,PO,4_T,P
31,LVC,7,4,advice,PO,5_T,P
31,LVC,7,8,beating,DO,6_T,P
32,IDIOM,1,9,shirt off his back,DO,11_T,P
32,IDIOM,1,13,hand,PO,12_T,P
32,IDIOM,1,11,fair shake,DO,13_T,P
32,IDIOM,1,6,go-ahead,PO,15_T,P
32,IDIOM,1,2,rise,PO,16_T,P
32,IDIOM,1,10,whirl,DO,19_T,P
32,IDIOM,1,12,ax,PO,20_T,P
32,IDIOM,1,5,once-over,PO,21_T,P
32,IDIOM,1,1,blank check,PO,23_T,P
32,IDIOM,1,14,earful,DO,26_T,P
32,IDIOM,1,8,boot,DO,3_T,D
32,IDIOM,1,3,piece of her mind,PO,4_T,P
32,IDIOM,1,4,break,DO,5_T,P
32,IDIOM,1,7,taste of her own medicine,DO,6_T,P
33,LVC,4,7,encouragement,DO,11_T,D
33,LVC,4,14,beating,DO,12_T,D
33,LVC,4,10,smile,PO,13_T,P
33,LVC,4,8,answer,PO,15_T,P
33,LVC,4,13,scolding,PO,16_T,D
33,LVC,4,12,compliment,PO,19_T,P
33,LVC,4,1,massage,DO,20_T,D
33,LVC,4,11,hug,DO,21_T,P
33,LVC,4,3,bow,DO,23_T,OTHER
33,LVC,4,6,reply,PO,26_T,D
33,LVC,4,4,aid,PO,3_T,D
33,LVC,4,9,advice,PO,4_T,P
33,LVC,4,2,command,DO,5_T,OTHER
33,LVC,4,5,tip,DO,6_T,D
34,IDIOM,2,7,free rein,PO,11_T,P
34,IDIOM,2,3,low-down,PO,12_T,P
34,IDIOM,2,1,brush-off,PO,13_T,P
34,IDIOM,2,5,hand with the landscape,DO,15_T,D
34,IDIOM,2,10,runaround,DO,16_T,D
34,IDIOM,2,4,clean bill of health,PO,19_T,D
34,IDIOM,2,2,due,DO,20_T,MISSING
34,IDIOM,2,6,piece of his mind,DO,21_T,D
34,IDIOM,2,8,run for his money,DO,23_T,D
34,IDIOM,2,9,bum's rush,DO,26_T,MISSING
34,IDIOM,2,12,third degree,DO,3_T,D
34,IDIOM,2,11,word,PO,4_T,D
34,IDIOM,2,13,green light,PO,5_T,P
34,IDIOM,2,14,break to,PO,6_T,P
35,LVC,2,3,reply,PO,11_T,P
35,LVC,2,7,advice,PO,12_T,OTHER
35,LVC,2,8,compliment,DO,13_T,P
35,LVC,2,9,aid,DO,15_T,OTHER
35,LVC,2,1,answer,DO,16_T,P
35,LVC,2,12,hug,PO,19_T,OTHER
35,LVC,2,6,command,DO,20_T,D
35,LVC,2,13,encouragement,PO,21_T,P
35,LVC,2,4,bow,PO,23_T,OTHER
35,LVC,2,2,scolding,PO,26_T,P
